
sample_id,message_text,channel,topic,current_label,human_label,review_note,include_in_evaluation
"FLIC-POS-001,""Tôi r?t hài lòng vì h? th?ng h? tr? nhanh chóng."",webchat,ho_tro,,,POS,false"
"FLIC-POS-002,""C?m ?n b?n, v?n ?? c?a tôi ?ã ???c gi?i quy?t."",webchat,ho_tro,,,POS,false"
"FLIC-POS-003,""Chatbot tr? l?i ?úng thông tin tôi c?n, r?t h?u ích."",chatbot,chatbot,,,POS,false"
"FLIC-POS-004,""Tôi tra c?u ?i?m thành công và r?t hài lòng v?i h? th?ng."",web,tra_cuu_diem,,,POS,false"
"FLIC-POS-005,""Tôi ?ã ??ng nh?p ???c, c?m ?n b? ph?n h? tr?."",webchat,dang_nhap,,,POS,false"
"FLIC-POS-006,""Nhân viên h??ng d?n ??ng ký VSTEP r?t t?n tình và d? hi?u."",webchat,vstep,,,POS,false"
"FLIC-POS-007,""Thông tin l?ch thi TOEIC ???c c?p nh?t k?p th?i, tôi r?t hài lòng."",web,toeic,,,POS,false"
"FLIC-POS-008,""L?i hi?n th? ?ã ???c kh?c ph?c nhanh chóng, c?m ?n trung tâm."",webchat,loi_he_thong,,,POS,false"
"FLIC-POS-009,""Tôi ??ng ký sát h?ch CNTT thành công, thao tác r?t thu?n ti?n."",web,sat_hach_cntt,,,POS,false"
"FLIC-POS-010,""Tôi ?ánh giá cao cách FLIC t? v?n rõ ràng và ph?n h?i nhanh."",webchat,ho_tro,,,POS,false"
"FLIC-NEG-001,""H? th?ng b? l?i và tôi không th? ??ng nh?p ???c."",web,dang_nhap,,,NEG,false"
"FLIC-NEG-002,""Tôi ?ã ch? r?t lâu nh?ng v?n ch?a nh?n ???c k?t qu?."",webchat,tra_cuu_ket_qua,,,NEG,false"
"FLIC-NEG-003,""Chatbot tr? l?i sai thông tin khi?n tôi r?t th?t v?ng."",chatbot,chatbot,,,NEG,false"
"FLIC-NEG-004,""Trang tra c?u ?i?m liên t?c báo l?i nên tôi không xem ???c k?t qu?."",web,tra_cuu_diem,,,NEG,false"
"FLIC-NEG-005,""L?ch thi TOEIC hi?n th? sai ngày, tôi không hài lòng."",web,toeic,,,NEG,false"
"FLIC-NEG-006,""Tôi không th? hoàn t?t ??ng ký thi VSTEP dù ?ã th? nhi?u l?n."",web,vstep,,,NEG,false"
"FLIC-NEG-007,""H? th?ng ?ã tr? phí nh?ng không ghi nh?n ??ng ký sát h?ch CNTT."",web,sat_hach_cntt,,,NEG,false"
"FLIC-NEG-008,""D? li?u ??ng ký c?a tôi bi?n m?t, h? th?ng ho?t ??ng quá t?."",webchat,loi_he_thong,,,NEG,false"
"FLIC-NEG-009,""Ph?n h?i quá ch?m và tôi r?t b?c vì ph?i ch? nhi?u ngày."",webchat,ho_tro,,,NEG,false"
"FLIC-NEG-010,""Tài kho?n liên t?c b? khóa dù tôi nh?p ?úng m?t kh?u."",web,dang_nhap,,,NEG,false"
"FLIC-NEU-001,""Tôi mu?n bi?t l?ch thi TOEIC tháng này."",webchat,toeic,,,NEG,false"
"FLIC-NEU-002,""Cho tôi h?i th?i gian ??ng ký k? thi VSTEP s?p t?i."",webchat,vstep,,,NEG,false"
"FLIC-NEU-003,""Tôi c?n h??ng d?n cách tra c?u ?i?m trên h? th?ng."",webchat,tra_cuu_diem,,,NEG,false"
"FLIC-NEU-004,""Các b??c ??ng ký sát h?ch CNTT g?m nh?ng gì?"",webchat,sat_hach_cntt,,,NEG,false"
"FLIC-NEU-005,""Tôi mu?n bi?t cách ??t l?i m?t kh?u tài kho?n FLIC."",webchat,dang_nhap,,,NEG,false"
"FLIC-NEU-006,""K?t qu? k? thi ???c nh?n t?i ?âu?"",webchat,tra_cuu_ket_qua,,,NEG,false"
"FLIC-NEU-007,""L? phí thi TOEIC hi?n t?i là bao nhiêu?"",webchat,toeic,,,NEG,false"
"FLIC-NEU-008,""H? s? ??ng ký thi VSTEP c?n nh?ng gi?y t? nào?"",webchat,vstep,,,NEG,false"
"FLIC-NEU-009,""Chatbot h? tr? tr? l?i trong khung gi? nào?"",chatbot,chatbot,,,NEG,false"
"FLIC-NEU-010,""Tôi mu?n c?p nh?t s? ?i?n tho?i trong h? s? tài kho?n."",webchat,tai_khoan,,,NEG,false"
